lifespan	intervention	gender	died_from_aging
438	water	male	1
449	water	male	1
450	water	male	1
494	water	male	1
521	water	male	1
556	water	male	1
580	water	male	1
623	water	male	1
639	water	male	1
670	water	male	1
681	water	male	1
683	water	male	1
689	water	male	1
692	water	male	1
692	water	male	1
716	water	male	1
729	water	male	1
760	water	male	1
770	water	male	1
796	water	male	1
807	water	male	1
829	water	male	1
834	water	male	1
834	water	male	1
850	water	male	1
869	water	male	1
876	water	male	1
876	water	male	1
900	water	male	1
910	water	male	1
922	water	male	1
927	water	male	1
942	water	male	1
958	water	male	1
962	water	male	1
973	water	male	1
989	water	male	1
462	oil	male	1
505	oil	male	1
536	oil	male	1
539	oil	male	1
572	oil	male	1
576	oil	male	1
577	oil	male	1
592	oil	male	1
596	oil	male	1
612	oil	male	1
613	oil	male	1
615	oil	male	1
654	oil	male	1
678	oil	male	1
702	oil	male	1
709	oil	male	1
716	oil	male	1
726	oil	male	1
741	oil	male	1
745	oil	male	1
747	oil	male	1
748	oil	male	1
754	oil	male	1
754	oil	male	1
796	oil	male	1
796	oil	male	1
801	oil	male	1
807	oil	male	1
813	oil	male	1
821	oil	male	1
825	oil	male	1
838	oil	male	1
849	oil	male	1
849	oil	male	1
852	oil	male	1
860	oil	male	1
888	oil	male	1
888	oil	male	1
919	oil	male	1
464	С60	male	1
501	С60	male	1
506	С60	male	1
533	С60	male	1
587	С60	male	1
615	С60	male	1
653	С60	male	1
666	С60	male	1
688	С60	male	1
689	С60	male	1
692	С60	male	1
697	С60	male	1
697	С60	male	1
701	С60	male	1
718	С60	male	1
737	С60	male	1
740	С60	male	1
746	С60	male	1
748	С60	male	1
752	С60	male	1
769	С60	male	1
772	С60	male	1
786	С60	male	1
795	С60	male	1
830	С60	male	1
853	С60	male	1
857	С60	male	1
868	С60	male	1
870	С60	male	1
883	С60	male	1
893	С60	male	1
903	С60	male	1
925	С60	male	1
933	С60	male	1
952	С60	male	1
968	С60	male	1
1026	С60	male	1
408	water	female	1
412	water	female	1
485	water	female	1
492	water	female	1
516	water	female	1
518	water	female	1
543	water	female	1
603	water	female	1
636	water	female	1
651	water	female	1
653	water	female	1
695	water	female	1
697	water	female	1
699	water	female	1
710	water	female	1
727	water	female	1
729	water	female	1
729	water	female	1
732	water	female	1
739	water	female	1
740	water	female	1
751	water	female	1
751	water	female	1
758	water	female	1
760	water	female	1
776	water	female	1
781	water	female	1
790	water	female	1
795	water	female	1
796	water	female	1
808	water	female	1
820	water	female	1
822	water	female	1
853	water	female	1
902	water	female	1
902	water	female	1
924	water	female	1
935	water	female	1
944	water	female	1
973	water	female	1
1031	water	female	1
408	oil	female	1
427	oil	female	1
438	oil	female	1
457	oil	female	1
546	oil	female	1
554	oil	female	1
562	oil	female	1
574	oil	female	1
610	oil	female	1
621	oil	female	1
631	oil	female	1
641	oil	female	1
648	oil	female	1
648	oil	female	1
653	oil	female	1
655	oil	female	1
666	oil	female	1
669	oil	female	1
680	oil	female	1
692	oil	female	1
750	oil	female	1
753	oil	female	1
755	oil	female	1
772	oil	female	1
783	oil	female	1
798	oil	female	1
805	oil	female	1
808	oil	female	1
810	oil	female	1
833	oil	female	1
843	oil	female	1
871	oil	female	1
884	oil	female	1
891	oil	female	1
894	oil	female	1
918	oil	female	1
918	oil	female	1
447	С60	female	1
464	С60	female	1
570	С60	female	1
574	С60	female	1
584	С60	female	1
586	С60	female	1
633	С60	female	1
645	С60	female	1
654	С60	female	1
657	С60	female	1
660	С60	female	1
662	С60	female	1
681	С60	female	1
692	С60	female	1
695	С60	female	1
726	С60	female	1
730	С60	female	1
760	С60	female	1
789	С60	female	1
794	С60	female	1
797	С60	female	1
797	С60	female	1
831	С60	female	1
842	С60	female	1
851	С60	female	1
871	С60	female	1
875	С60	female	1
878	С60	female	1
887	С60	female	1
898	С60	female	1
920	С60	female	1
930	С60	female	1
950	С60	female	1
952	С60	female	1
1029	С60	female	1
